V1,V2,O,P1,P2,ID,V1_mean,V1_percentile,V1_V1_mean
0.0300526567784576,1757_1852_1754,1757,1852,1754,1757,0.050389545847153,0.227272727272727,0.596406581428945
0.0385051736419349,1757_1852_1879,1757,1852,1879,1757,0.050389545847153,0.345454545454545,0.764150043319163
0.0435745422042014,1757_1754_1879,1757,1754,1879,1757,0.050389545847153,0.490909090909091,0.864753620450886
0.0379804046316325,1334_1387_1754,1334,1387,1754,1334,,0.336363636363636,
0.0564369990515734,1852_1387_1848,1852,1387,1848,1852,0.0278473982585295,0.690909090909091,2.02665249110973
0.0480292838204952,1852_1387_1948,1852,1387,1948,1852,0.0278473982585295,0.572727272727273,1.72473145873813
0.0421284163521409,1852_1387_1757,1852,1387,1757,1852,0.0278473982585295,0.436363636363636,1.51283132309272
0.0448695632643435,1852_1387_1754,1852,1387,1754,1852,0.0278473982585295,0.518181818181818,1.6112659016754
0.0204075069651675,1852_1848_1948,1852,1848,1948,1852,0.0278473982585295,0.172727272727273,0.732833522748103
0.028788168046088,1852_1848_1757,1852,1848,1757,1852,0.0278473982585295,0.218181818181818,1.03378304065696
0.0183580274768074,1852_1848_1754,1852,1848,1754,1852,0.0278473982585295,0.154545454545455,0.659236719580599
0.011900763335399,1852_1948_1757,1852,1948,1757,1852,0.0278473982585295,0.109090909090909,0.427356380833669
0.00752973149011196,1852_1948_1754,1852,1948,1754,1852,0.0278473982585295,0.1,0.270392638486637
0.0000255227831676224,1852_1757_1754,1852,1757,1754,1852,0.0278473982585295,0.0454545454545455,0.000916523078051105
0.0636726192115402,738_784_669,738,784,669,738,0.0752023473038302,0.8,0.846683933339104
0.0771000182757231,738_784_1879,738,784,1879,738,0.0752023473038302,0.936363636363636,1.02523419866439
0.0848344044242271,738_669_1879,738,669,1879,738,0.0752023473038302,0.963636363636364,1.12808186799651
0.0413204215680083,1754_1387_1848,1754,1387,1848,1754,0.0426579829331101,0.390909090909091,0.968644523881985
0.0491327891990526,1754_1387_1948,1754,1387,1948,1754,0.0426579829331101,0.618181818181818,1.15178416373074
